date,MSFT,AAPL,CSCO,ORCL,GOOGL
2006-03-01,0.010048,0.008906,0.040514,0.031401,0.006012
2006-03-02,-0.006264,0.007381,-0.008547,-0.000781,0.031935
2006-03-03,-0.001483,-0.027151,0.007663,-0.000781,0.004596
2006-03-06,-0.000743,-0.033077,0.000475,-0.001564,-0.026654
2006-03-07,0.005574,0.012676,-0.008551,0.008614,-0.009916
2006-03-08,0.007021,-0.009802,-0.000479,-0.001553,-0.029003
2006-03-09,-0.009174,-0.026348,-0.020134,-0.001555,-0.030745
2006-03-10,0.006296,-0.011575,0.018591,0.004673,-0.016035
2006-03-13,-0.002208,0.039405,0.001921,0.0,-0.001304
2006-03-14,0.004426,0.02497,0.018696,0.004651,0.041832
2006-03-15,0.004774,-0.016191,0.008941,0.021605,-0.018966
2006-03-16,-0.003289,-0.02899,-0.008862,0.019638,-0.016633
2006-03-17,0.008434,0.005442,0.017412,0.007407,0.003011
2006-03-20,0.014182,-0.010362,0.002775,0.008824,0.024721
2006-03-21,-0.005378,-0.034068,-0.012454,-0.007289,-0.023751
2006-03-22,-0.021269,-0.002265,0.000467,0.027166,0.000883
2006-03-23,-0.01105,-0.024485,-0.000467,-0.013581,0.004909
2006-03-24,0.005959,-0.003324,-0.002335,-0.000725,0.069935
2006-03-27,0.0,-0.007505,0.015449,0.003626,0.010634
